spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Clone,FALSE,necromancy,"utility, warding",8,1 hour,Touch,"V, S, M (a diamond worth 1,000+ GP, which the spell consumes, and a vessel worth 2,000+ GP that is large enough to hold the creature being cloned)",Instantaneous,"You touch a creature or at least 1 cubic inch of its flesh. An inert duplicate of that creature forms inside the vessel used in the spell's casting and finishes growing after 120 days; you choose whether the finished clone is the same age as the creature or younger. The clone remains inert and endures indefinitely while its vessel remains undisturbed.\nIf the original creature dies after the clone finishes forming, the creature's soul transfers to the clone if the soul is free and willing to return. The clone is physically identical to the original and has the same personality, memories, and abilities, but none of the original's equipment. The creature's original remains, if any, become inert and can't be revived, since the creature's soul is elsewhere.",Wizard,Player's Handbook 2024
Cloud of Daggers,FALSE,conjuration,"damage, slashing",2,Action,60 feet,"V, S, M (a sliver of glass)","Concentration, up to 1 minute",Unknown,"Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Cloudkill,FALSE,conjuration,"damage, poison",5,Action,120 feet,"V, S","Concentration, up to 10 minutes","You create a 20-foot-radius Sphere of yellow-green fog centered on a point within range. The fog lasts for the duration or until strong wind (such as the one created by Gust of Wind) disperses it, ending the spell. Its area is Heavily Obscured.\nEach creature in the Sphere makes a Constitution saving throw, taking 5d8 Poison damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature makes this save only once per turn.\nThe Sphere moves 10 feet away from you at the start of each of your turns.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.","Sorcerer, Wizard",Player's Handbook 2024
Color Spray,FALSE,illusion,"control, debuff",1,Action,Self,"V, S, M (a pinch of colorful sand)",Instantaneous,"You launch a dazzling array of flashing, colorful light. Each creature in a 15-foot Cone originating from you must succeed on a Constitution saving throw or have the Blinded condition until the end of your next turn.","Bard, Sorcerer, Wizard",Player's Handbook 2024
Command,FALSE,enchantment,control,1,Action,60 feet,V,Instantaneous,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. Choose the command from these options:\nApproach. The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you.\nDrop. The target drops whatever it is holding and then ends its turn.\nFlee. The target spends its turn moving away from you by the fastest available means.\nGrovel. The target has the Prone condition and then ends its turn.\nHalt. On its turn, the target doesn't move and takes no action or Bonus Action.\nUsing a Higher-Level Spell Slot. You can affect one additional creature for each spell slot level above 1.","Bard, Cleric, Paladin",Player's Handbook 2024
Commune,TRUE,divination,prediction,5,1 minute or Ritual,Self,"V, S, M (incense)",1 minute,"You contact a deity or a divine proxy and ask up to three questions that can be answered with yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.\nDivine beings aren't necessarily omniscient, so you might receive ""unclear"" as an answer if a question pertains to information that lies beyond the deity's knowledge. In a case where a one-word answer could be misleading or contrary to the deity's interests, the DM might offer a short phrase as an answer instead.\nIf you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",Cleric,Player's Handbook 2024
Commune with Nature,TRUE,divination,"environment, exploration, prediction, utility",5,1 minute or Ritual,Self,"V, S",Instantaneous,"You commune with nature spirits and gain knowledge of the surrounding area. In the outdoors, the spell gives you knowledge of the area within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn't function where nature has been replaced by construction, such as in castles and settlements.\nChoose three of the following facts; you learn those facts as they pertain to the spell's area:\n• Locations of settlements\n• Locations of portals to other planes of existence\n• Location of one Challenge Rating 10+ creature (DM's choice) that is a Celestial, an Elemental, a Fey, a Fiend, or an Undead\n• The most prevalent kind of plant, mineral, or Beast (you choose which to learn)\n• Locations of bodies of water\nFor example, you could determine the location of a powerful monster in the area, the locations of bodies of water, and the locations of any towns.","Druid, Ranger",Player's Handbook 2024
Compelled Duel,FALSE,enchantment,control,1,Bonus Action,30 feet,V,"Concentration, up to 1 minute",Unknown,Paladin,Player's Handbook 2024
Comprehend Languages,TRUE,divination,social,1,Action or Ritual,Self,"V, S, M (a pinch of soot and salt)",1 hour,"For the duration, you understand the literal meaning of any language that you hear or see signed. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text. This spell doesn't decode symbols or secret messages.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Compulsion,FALSE,enchantment,control,4,Action,30 feet,"V, S","Concentration, up to 1 minute","Each creature of your choice that you can see within range must succeed on a Wisdom saving throw or have the Charmed condition until the spell ends.\nFor the duration, you can take a Bonus Action to designate a direction that is horizontal to you. Each Charmed target must use as much of its movement as possible to move in that direction on its next turn, taking the safest route. After moving in this way, a target repeats the save, ending the spell on itself on a success.",Bard,Player's Handbook 2024
Cone of Cold,FALSE,evocation,"damage, cold",5,Action,Self,"V, S, M (a small crystal or glass cone)",Instantaneous,"You unleash a blast of cold air. Each creature in a 60-foot Cone originating from you makes a Constitution saving throw, taking 8d8 Cold damage on a failed save or half as much damage on a successful one. A creature killed by this spell becomes a frozen statue until it thaws.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Confusion,FALSE,enchantment,control,4,Action,90 feet,"V, S, M (three nut shells)","Concentration, up to 1 minute","Each creature in a 10-foot-radius Sphere centered on a point you choose within range must succeed on a Wisdom saving throw, or that target can't take Bonus Actions or Reactions and must roll 1d10 at the start of each of its turns to determine its behavior for that turn, consulting the table below.\n\n1d10	Behavior for the Turn\n1	The target doesn't take an action, and it uses all its movement to move. Roll 1d4 for the direction: 1, north; 2, east; 3, south; or 4, west.\n2–6	The target doesn't move or take actions.\n7–8	The target doesn't move, and it takes the Attack action to make one melee attack against a random creature within reach. If none are within reach, the target takes no action.\n9–10	The target chooses its behavior.\n\nAt the end of each of its turns, an affected target repeats the save, ending the spell on itself on a success.\nUsing a Higher-Level Spell Slot. The Sphere's radius increases by 5 feet for each spell slot level above 4.","Bard, Druid, Sorcerer, Wizard",Player's Handbook 2024
Conjure Animals,FALSE,conjuration,"summoning, damage ",3,Action,60 feet,"V, S","Concentration, up to 10 minutes","You conjure nature spirits that appear as a Large pack of spectral, intangible animals in an unoccupied space you can see within range. The pack lasts for the duration, and you choose the spirits' animal form, such as wolves, serpents, or birds.\nYou have Advantage on Strength saving throws while you're within 5 feet of the pack, and when you move on your turn, you can also move the pack up to 30 feet to an unoccupied space you can see. Whenever the pack moves within 10 feet of a creature you can see and whenever a creature you can see enters a space within 10 feet of the pack or ends its turn there, you can force that creature to make a Dexterity saving throw. On a failed save, the creature takes 3d10 Slashing damage. A creature makes this save only once per turn.\nUsing a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.","Druid, Ranger",Player's Handbook 2024
